Age,Gender,MaritalStatus,Occupation,Monthly Income,Educational Qualifications,Family size,FoodDileveryApp,FoodDirectCall,TypeMeal1,TypeMeal2,Cuisine1,Cuisine2,Ease and convenient,Time saving,RestaurantChoices,EasyPaymentOption,MoreOffersDiscount,FoodQuality,TrackingSystem,PoorHygiene,BadPastExperience,LongDeliveryTime,WrongOrderDelivered,Missing item,OrderPlacedByMistake,Order Time,Maximum wait time,Google Maps Accuracy,Influence of rating,Less Delivery time,HighQualityOfPackage,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,FoodQuantity,purchaseAgain,Reviews
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,Walk-in, Direct call,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Neutral,Disagree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Maybe,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Important,Important,Important,1,NaN
25,Male,Single,Student,No Income,Post Graduate,3,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Anytime (Mon-Sun),30 minutes,Neutral,Yes,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,1,NaN
22,Female,Single,Student,No Income,Post Graduate,5,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Agree,Yes,Moderately Important,Important,Important,Important,Important,Important,Important,Important,1,NaN
22,Male,Single,Student,No Income,Post Graduate,3,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Slightly Important,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,1,NaN
23,Female,Single,Employee,10001 to 25000,Graduate,3,Walk-in, Direct call,Snacks, Dinner,Bakery items (snacks), Veg foods (Breakfast / Lunch / Dinner),Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Weekend (Sat & Sun),30 minutes,Neutral,Maybe,Important,Important,Moderately Important,Moderately Important,Important,Important,Important,Important,1,NaN
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Walk-in, Direct call,Snacks, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Weekend (Sat & Sun),15 minutes,Neutral,No,Important,Very Important,Moderately Important,Important,Important,Very Important,Very Important,Very Important,1,no
22,Female,Single,Employee,10001 to 25000,Graduate,5,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Weekend (Sat & Sun),45 minutes,Agree,Yes,Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,1,NaN
22,Male,Single,Student,No Income,Post Graduate,4,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Anytime (Mon-Sun),30 minutes,Agree,Yes,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,1,NaN
25,Male,Married,Employee,More than 50000,Ph.D,4,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Anytime (Mon-Sun),30 minutes,Disagree,Yes,Very Important,Slightly Important,Very Important,Moderately Important,Important,Moderately Important,Very Important,Important,1,iNaNexpectNaNfasterNaNdeliveryNaNinNaNmyNaNarea
22,Female,Single,Student,10001 to 25000,Post Graduate,5,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Weekend (Sat & Sun),15 minutes,Agree,Yes,Important,Important,Moderately Important,Important,Very Important,Very Important,Very Important,Very Important,1,NaN
